FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
Sep-99,"115,068.55","27,886.19","3,430.28","6,787.60","2,885.37","27,359.01","183,417.00"
Dec-99,"121,658.53","28,427.98","3,005.92","6,664.38","2,899.89","27,643.30","190,300.00"
Mar-00,"131,224.49","33,477.49","3,005.92","6,662.98","2,654.36","24,437.99","201,463.22"
Jun-00,"131,029.45","36,851.07","3,005.92","6,528.95","2,608.57","26,103.04","206,127.00"
Jul-00,"132,167.45","39,650.79","3,005.92","5,802.95","2,458.81","19,276.08","202,362.00"
Aug-00,"129,982.70","39,292.68","3,005.92","6,281.82","2,511.76","15,509.12","196,584.00"
Sep-00,"131,672.70","37,187.28","3,005.92","5,839.36","2,566.12","15,248.61","195,520.00"
Oct-00,"132,503.45","36,881.13","1,905.92","5,875.78","2,618.20","15,779.52","195,564.00"
Nov-00,"133,260.45","36,877.03","1,905.92","5,838.47","2,665.54","15,358.59","195,906.00"
Dec-00,"132,660.35","34,114.71","1,905.92","5,838.47","2,432.31","15,713.54","192,665.30"
19-Jan,"134,273.85","32,375.96","1,468.22","7,397.47","2,253.95","15,563.50","193,332.95"
19-Feb,"139,593.30","33,144.26","1,468.22","7,324.64","2,286.02","15,720.82","199,537.27"
19-Mar,"139,008.45","34,560.28","1,468.22","7,324.64","2,320.63","15,940.35","200,622.58"
19-Apr,"137,502.95","36,374.69","1,468.22","5,775.64","2,289.28","27,170.67","210,581.44"
19-May,"134,767.60","40,786.60","1,468.22","2,156.64","2,179.56","21,522.26","202,880.88"
19-Jun,"137,540.05","44,499.24","1,468.22","2,861.85","2,207.72","23,235.52","211,812.60"
19-Jul,"140,249.65","49,108.67","1,468.22","1,514.60","2,034.37","10,636.49","205,012.00"
19-Aug,"144,458.60","55,940.93","1,468.22",500.85,"2,063.91","10,334.49","214,767.00"
19-Sep,"143,838.85","60,460.33","1,468.22",500.85,"2,092.29","10,804.45","219,165.00"
19-Oct,"137,764.75","71,056.86","1,468.22",0,"2,121.97","13,540.20","225,952.00"
19-Nov,"132,115.55","71,052.63","1,468.22",0,"2,151.13","10,736.48","217,524.00"
19-Dec,"123,802.55","80,327.61","1,468.22",0,"2,431.40","13,954.22","221,984.00"
19-Jan,"120,095.20","87,989.86","1,468.22",0,"2,456.93","10,700.78","222,711.00"
19-Feb,"120,784.05","92,040.56","1,468.22",0,"2,485.77","10,802.40","227,581.00"
19-Mar,"121,338.50","92,679.11","1,468.22",0,"2,718.87","10,962.29","229,167.00"
19-Apr,"119,203.60","98,164.78","1,468.22",0,"3,351.86","10,960.54","233,149.00"
19-May,"116,548.05","105,186.53","1,468.22",490.1,"3,440.91","4,639.19","231,773.00"
19-Jun,"118,050.00","106,332.99","1,468.22",0,"3,486.54","6,653.24","235,991.00"
19-Jul,"120,509.80","110,440.77","1,468.22","4,424.94","3,509.91","1,748.41","242,102.05"
19-Aug,"119,662.70","109,812.28","1,468.22","8,094.16","3,514.01","4,617.61","247,168.98"
19-Sep,"119,589.65","116,220.43","1,468.22","2,952.19","3,502.43","7,075.68","250,808.60"
19-Oct,"116,273.20","119,526.45","1,468.22","5,849.58","3,114.46","4,964.75","251,196.67"
19-Nov,"114,655.55","127,112.01","1,468.22","1,130.12","3,354.19","7,472.56","255,192.66"
19-Dec,"107,010.70","130,483.63","1,468.22","4,165.69","3,121.98","13,578.01","259,828.23"
19-Jan,"105,820.15","128,113.27","1,468.22","7,798.83","3,174.83","17,611.03","263,986.33"
19-Feb,"111,829.90","134,998.72","1,057.98","4,889.71","3,223.03","8,193.87","264,193.21"
19-Mar,"109,240.30","139,524.48","1,057.98","8,162.42","3,277.55","9,453.55","270,716.28"
19-Apr,"107,781.60","147,825.09","1,057.98","7,697.51","3,862.33","7,858.94","276,083.44"
19-May,"109,124.20","155,559.20","1,057.98","4,966.02","2,713.62","7,507.96","280,928.98"
19-Jun,"105,744.00","161,549.06","1,057.98","4,318.91","2,685.18","14,021.83","289,376.97"
19-Jul,"104,266.80","164,976.97","1,057.98","8,000.00","2,984.54","10,991.18","292,277.47"
19-Aug,"99,543.65","174,467.52","1,057.98","4,797.02","3,024.90","12,603.44","295,494.51"
19-Sep,"100,322.20","182,409.52","1,057.98","3,808.92","3,049.44","12,604.00","303,252.05"
19-Oct,"114,438.05","179,966.92","1,057.98","2,704.50","3,056.32",695.1977636,"301,918.96"
19-Nov,"116,904.00","179,181.60","1,057.98","3,272.13","2,620.29",512.3988788,"303,548.41"
19-Dec,"113,626.60","178,352.31","1,057.98","5,052.07","2,605.18",496.431807,"301,190.58"
19-Jan,"108,042.05","180,485.23","1,057.98","6,970.79","2,640.41",504.7970705,"299,701.26"
