YEAR,MONTH,Import duty,Excise duty,Income tax,VAT,OTHER TAX INCOME,TOTAL TAX REVENUE,NON TAX REVENUE,TOTAL REVENUE,Programme Grants,Projects Grants,Total Grants,Domestic Interest ,Foreign Interest,Wages & Salaries,Pensions,Other expenditure,TOTAL RECURRENT EXPENDITURE,County Transfer,DEVELOPMENT EXPENDITURE,TOTAL EXPENDITURE
1999,9,"7,157.00","6,869.00","12,054.00","9,255.00",,"35,335.00","5,979.00","41,314.00",6,"1,197.00","1,203.00","3,816.00","3,068.00","16,749.00","1,387.00","12,919.00","37,939.00",,"6,539.00","44,478.00"
1999,12,"13,912.00","14,007.00","25,545.00","19,734.00",,"73,198.00","13,131.00","86,329.00",329,"2,211.00","2,540.00","8,935.00","4,597.00","33,483.00","2,520.00","24,135.00","73,670.00",,"12,765.00","86,435.00"
2000,3,"21,407.00","21,182.00","37,156.00","30,091.00",,"109,836.00","20,756.00","130,592.00",344,"3,319.00","3,663.00","15,784.00","6,039.00","50,232.00","3,732.00","39,481.00","115,268.00",,"22,493.00","137,761.00"
2000,6,"28,605.00","28,493.00","54,402.00","40,944.00",,"152,444.00","25,999.00","178,443.00",0,"4,247.00","4,247.00","20,752.00","8,635.00","65,861.00","5,145.00","56,142.00","156,535.00",,"18,584.00","175,119.00"
2000,7,"2,813.00","1,572.00","2,905.00","2,708.00",,"9,998.00","1,617.00","11,615.00",0,323,323,"2,739.00",746,"5,805.00",543,"4,225.00","14,058.00",,"1,360.00","15,418.00"
2000,8,"4,427.00","4,152.00","6,375.00","7,392.00",,"22,346.00","4,257.00","26,603.00",0,516,516,"4,298.00","1,060.00","11,610.00",600,"12,192.00","29,760.00",,"1,909.00","31,669.00"
2000,9,"7,273.00","6,604.00","12,174.00","11,424.00",,"37,475.00","6,797.00","44,272.00",0,"3,069.00","3,069.00","6,682.00","1,497.00","17,415.00","1,309.00","17,457.00","44,360.00",,"5,450.00","49,810.00"
2000,10,"10,131.00","8,716.00","15,448.00","15,386.00",,"49,681.00","9,319.00","59,000.00",0,"3,355.00","3,355.00","8,659.00","1,934.00","23,220.00","1,650.00","26,926.00","62,389.00",,"7,396.00","69,785.00"
2000,11,"13,022.00","11,314.00","19,522.00","19,824.00",,"63,682.00","10,898.00","74,580.00",0,"3,569.00","3,569.00","9,603.00","2,056.00","29,025.00","2,250.00","33,368.00","76,302.00",,"9,646.00","85,948.00"
2000,12,"15,048.00","13,379.00","25,026.00","23,516.00",,"76,969.00","13,396.00","90,365.00","1,714.00","6,420.00","8,134.00","11,302.00","2,232.00","34,828.00","3,250.00","40,593.00","92,205.00",,"12,707.00","104,912.00"
2001,1,"17,301.00","16,115.00","28,901.00","27,924.00",,"90,241.00","17,042.00","107,283.00","1,714.00","8,410.00","10,124.00","13,606.00","2,915.00","41,062.00","4,096.00","48,053.00","109,732.00",,"13,659.00","123,391.00"
2001,2,"19,313.00","18,250.00","32,481.00","31,742.00",,"101,786.00","21,394.00","123,180.00","1,714.00","8,654.00","10,368.00","14,901.00","3,293.00","46,622.00","4,755.00","57,650.00","127,221.00",,"14,807.00","142,028.00"
2001,3,"21,733.00","20,457.00","36,597.00","36,730.00",,"115,517.00","25,289.00","140,806.00","1,714.00","11,232.00","12,946.00","16,906.00","3,727.00","52,472.00","5,116.00","65,606.00","143,827.00",,"22,196.00","166,023.00"
2001,4,"23,951.00","22,896.00","40,043.00","41,195.00",,"128,085.00","26,744.00","154,829.00","3,585.00","11,648.00","15,233.00","19,225.00","4,205.00","57,431.00","5,476.00","77,896.00","164,233.00",,"23,466.00","187,699.00"
2001,5,"26,224.00","25,321.00","46,418.00","45,722.00",,"143,685.00","33,866.00","177,551.00","3,585.00","11,793.00","15,378.00","20,500.00","4,445.00","62,451.00","5,837.00","86,235.00","179,468.00",,"28,892.00","208,360.00"
2001,6,"28,726.00","28,318.00","55,829.00","50,298.00",,"163,171.00","31,542.00","194,713.00","5,955.00","18,125.00","24,080.00","23,232.00","7,803.00","68,119.00","6,136.00","93,651.00","198,941.00",,"33,980.00","232,921.00"
2001,7,"1,697.00","1,830.00","3,162.00","3,337.00",,"10,026.00","1,739.00","11,765.00",0,120,120,"2,349.00","1,232.00","5,699.00",5,"3,534.00","12,819.00",,"1,007.00","13,826.00"
2001,8,"4,407.00","4,515.00","6,572.00","8,166.00",,"23,660.00","4,663.00","28,323.00","1,026.00",501,"1,527.00","3,772.00","1,617.00","12,460.00","1,475.00","11,435.00","30,759.00",,"3,542.00","34,301.00"
